id;period_bigin;period_end;period_now;ville;poste;employeur;description
1;2021-03-02T20:35:57;2021-03-03T02:28:54;false;Baby;Fork e-enable;California Handmade Sleek Cotton Pants;Rubber
2;2021-03-03T01:39:00;2021-03-02T15:52:22;false;Tugrik;Lead Concrete Generic Cotton Fish;Somalia USB;Borders Tools human-resource
3;2021-03-02T23:41:00;2021-03-02T19:36:38;true;Incredible Checking Account;artificial intelligence array bandwidth;withdrawal Fresh;Kids SAS
4;2021-03-02T23:49:28;2021-03-02T22:46:11;true;deposit;open-source Future Representative;Ecuador pink;orchid Intelligent Soft Computer calculate
5;2021-03-03T13:53:04;2021-03-03T09:58:04;true;neural-net Steel wireless;Profit-focused;system-worthy Syrian Arab Republic deposit;Concrete Ergonomic Soft Fish
6;2021-03-02T23:25:39;2021-03-02T22:42:50;false;Hat Soft;Optimized card;Checking Account;strategic Synergized
7;2021-03-03T05:57:51;2021-03-03T07:18:21;false;productize;El Salvador Colon US Dollar Jewelery Borders;Director;Credit Card Account Buckinghamshire Gloves
8;2021-03-03T06:34:32;2021-03-02T20:07:19;true;Facilitator seamless;Granite web-enabled e-tailers;Money Market Account;Assistant
9;2021-03-02T15:23:02;2021-03-03T13:12:04;false;connect Avon parsing;overriding deposit Lead;user-centric Unbranded;violet
10;2021-03-03T05:07:02;2021-03-03T09:11:50;false;neural interactive;Toys Refined Open-architected;grey innovate payment;partnerships Cheese mesh
